"pixel_idx","AOD"
1,NA
2,NA
3,NA
4,NA
5,NA
6,NA
7,NA
8,NA
9,NA
10,NA
11,NA
12,NA
13,NA
14,NA
15,NA
16,NA
17,NA
18,NA
19,NA
20,NA
21,NA
22,NA
23,NA
24,NA
25,NA
26,NA
27,NA
28,NA
29,NA
30,NA
31,NA
32,NA
33,NA
34,NA
35,NA
36,NA
37,NA
38,NA
39,NA
40,NA
41,NA
42,NA
43,NA
44,NA
45,NA
46,NA
47,NA
48,NA
49,NA
50,NA
51,NA
52,NA
53,NA
54,NA
55,NA
56,NA
57,NA
58,NA
59,NA
60,NA
61,NA
62,0.139747410319008
63,NA
64,0.140723503674963
65,NA
66,NA
67,0.128432433390117
68,NA
69,0.139105243637459
70,NA
71,NA
72,0.128008603380295
73,NA
74,0.133441333506198
75,NA
76,0.144769153768721
77,NA
78,NA
79,0.155673144021421
80,NA
81,0.21319843535457
82,NA
83,NA
84,0.230691055759962
85,NA
86,0.224333605612628
87,NA
88,0.300777127384208
89,NA
90,NA
91,0.528720612666802
92,NA
93,0.6285133149795
94,NA
95,NA
96,0.559313433375792
97,NA
98,0.453972410934512
99,NA
100,0.456399800990766
101,NA
102,NA
103,0.523442002544471
104,NA
105,0.577936267140709
106,NA
107,NA
108,0.621886154825916
109,NA
110,0.754622007902071
111,NA
112,0.842663059942424
113,NA
114,NA
115,0.823243939492386
116,NA
117,0.705342136760009
118,NA
119,NA
120,0.612677484612504
121,NA
122,NA
123,NA
124,NA
125,NA
126,NA
127,NA
128,NA
129,NA
130,NA
131,NA
132,NA
133,NA
134,NA
135,NA
136,NA
137,NA
138,NA
139,NA
140,NA
141,NA
142,NA
143,NA
144,NA
145,NA
146,NA
147,NA
148,NA
149,NA
150,NA
151,NA
152,NA
153,NA
154,NA
155,NA
156,NA
157,NA
158,NA
159,NA
160,NA
161,NA
162,NA
163,NA
164,NA
165,NA
166,NA
167,NA
168,NA
169,NA
170,NA
171,NA
172,NA
173,NA
174,NA
175,NA
176,NA
177,NA
178,NA
179,NA
180,NA
181,NA
182,0.14002996365889
183,NA
184,0.139914373656211
185,NA
186,NA
187,0.127931543378509
188,NA
189,0.132208373477624
190,NA
191,NA
192,0.129703923419584
193,NA
194,0.145308573781222
195,NA
196,0.175593154483067
197,NA
198,NA
199,0.187498924758984
200,NA
201,0.204375065150089
202,NA
203,NA
204,0.305631907496718
205,NA
206,0.298735037336883
207,NA
208,0.369244938970951
209,NA
210,NA
211,0.607129164483922
212,NA
213,0.549886426490654
214,NA
215,NA
216,0.397911259635293
217,NA
218,0.511510545601292
219,NA
220,0.50714381216676
221,NA
222,NA
223,0.596417824235687
224,NA
225,0.705110956754652
226,NA
227,NA
228,0.862428950400499
229,NA
230,0.903578991354152
231,NA
232,0.933953475391415
233,NA
234,NA
235,0.843818959969212
236,NA
237,0.704802716747508
238,NA
239,NA
240,0.672822816006374
241,NA
242,NA
243,NA
244,NA
245,NA
246,NA
247,NA
248,NA
249,NA
250,NA
251,NA
252,NA
253,NA
254,NA
255,NA
256,NA
257,NA
258,NA
259,NA
260,NA
261,NA
262,NA
263,NA
264,NA
265,NA
266,NA
267,NA
268,NA
269,NA
270,NA
271,NA
272,NA
273,NA
274,NA
275,NA
276,NA
277,NA
278,NA
279,NA
280,NA
281,NA
282,NA
283,NA
284,NA
285,NA
286,NA
287,NA
288,NA
289,NA
290,NA
291,NA
292,NA
293,NA
294,NA
295,NA
296,NA
297,NA
298,NA
299,NA
300,NA
301,NA
302,NA
303,NA
304,NA
305,NA
306,NA
307,NA
308,NA
309,NA
310,NA
311,NA
312,NA
313,NA
314,NA
315,NA
316,NA
317,NA
318,NA
319,NA
320,NA
321,NA
322,NA
323,NA
324,NA
325,NA
326,NA
327,NA
328,NA
329,NA
330,NA
331,NA
332,NA
333,NA
334,NA
335,NA
336,NA
337,NA
338,NA
339,NA
340,NA
341,NA
342,NA
343,NA
344,NA
345,NA
346,NA
347,NA
348,NA
349,NA
350,NA
351,NA
352,NA
353,NA
354,NA
355,NA
356,NA
357,NA
358,NA
359,NA
360,NA
361,NA
362,0.127584773370472
363,NA
364,0.123885893284751
365,NA
366,NA
367,0.128047133381187
368,NA
369,0.123924423285644
370,NA
371,NA
372,0.138797003630316
373,NA
374,0.172009864400025
375,NA
376,0.208998665257241
377,NA
378,NA
379,0.213699325366179
380,NA
381,0.302433917422604
382,NA
383,NA
384,0.292493177192227
385,NA
386,0.301740377406531
387,NA
388,0.65201661552419
389,NA
390,NA
391,0.500259785340556
392,NA
393,0.375088655773046
394,NA
395,NA
396,0.555537493288284
397,NA
398,0.57767940046809
399,NA
400,0.583561647271078
401,NA
402,NA
403,0.592025404133892
404,NA
405,0.667274495877791
406,NA
407,NA
408,0.970659722908749
409,NA
410,1.04987740474462
411,NA
412,0.990875130043908
413,NA
414,NA
415,0.960333682669443
416,NA
417,0.863161020417465
418,NA
419,NA
420,0.717132317033247
421,NA
422,NA
423,NA
424,NA
425,NA
426,NA
427,NA
428,NA
429,NA
430,NA
431,NA
432,NA
433,NA
434,NA
435,NA
436,NA
437,NA
438,NA
439,NA
440,NA
441,NA
442,NA
443,NA
444,NA
445,NA
446,NA
447,NA
448,NA
449,NA
450,NA
451,NA
452,NA
453,NA
454,NA
455,NA
456,NA
457,NA
458,NA
459,NA
460,NA
461,NA
462,NA
463,NA
464,NA
465,NA
466,NA
467,NA
468,NA
469,NA
470,NA
471,NA
472,NA
473,NA
474,NA
475,NA
476,NA
477,NA
478,NA
479,NA
480,NA
481,NA
482,0.124386783296359
483,NA
484,0.126390343342791
485,NA
486,NA
487,0.144807683769614
488,NA
489,0.141339983689249
490,NA
491,NA
492,0.160181154125894
493,NA
494,0.191313394847384
495,NA
496,0.248568976174283
497,NA
498,NA
499,0.324935437944077
500,NA
501,0.46472228118364
502,NA
503,NA
504,0.437455883885074
505,NA
506,0.434591820485366
507,NA
508,0.457478641015769
509,NA
510,NA
511,0.274807906782371
512,NA
513,0.276310576817195
514,NA
515,NA
516,0.490010805103035
517,NA
518,0.531533302731987
519,NA
520,0.40943172990228
521,NA
522,NA
523,0.511420642265875
524,NA
525,0.546238919739456
526,NA
527,NA
528,0.817541499360232
529,NA
530,1.06051168499107
531,NA
532,1.06841033517412
533,NA
534,NA
535,1.00803382377489
536,NA
537,0.901729551311291
538,NA
539,NA
540,0.73870911753329
541,NA
542,NA
543,NA
544,NA
545,NA
546,NA
547,NA
548,NA
549,NA
550,NA
551,NA
552,NA
553,NA
554,NA
555,NA
556,NA
557,NA
558,NA
559,NA
560,NA
561,NA
562,NA
563,NA
564,NA
565,NA
566,NA
567,NA
568,NA
569,NA
570,NA
571,NA
572,NA
573,NA
574,NA
575,NA
576,NA
577,NA
578,NA
579,NA
580,NA
581,NA
582,NA
583,NA
584,NA
585,NA
586,NA
587,NA
588,NA
589,NA
590,NA
591,NA
592,NA
593,NA
594,NA
595,NA
596,NA
597,NA
598,NA
599,NA
600,NA
601,NA
602,NA
603,NA
604,NA
605,NA
606,NA
607,NA
608,NA
609,NA
610,NA
611,NA
612,NA
613,NA
614,NA
615,NA
616,NA
617,NA
618,NA
619,NA
620,NA
621,NA
622,NA
623,NA
624,NA
625,NA
626,NA
627,NA
628,NA
629,NA
630,NA
631,NA
632,NA
633,NA
634,NA
635,NA
636,NA
637,NA
638,NA
639,NA
640,NA
641,NA
642,NA
643,NA
644,NA
645,NA
646,NA
647,NA
648,NA
649,NA
650,NA
651,NA
652,NA
653,NA
654,NA
655,NA
656,NA
657,NA
658,NA
659,NA
660,NA
661,NA
662,0.153631053974095
663,NA
664,0.192546354875958
665,NA
666,NA
667,0.265021286555566
668,NA
669,0.28675220705918
670,NA
671,NA
672,0.480018691538135
673,NA
674,0.602621154379449
675,NA
676,0.370901729009347
677,NA
678,NA
679,0.634215755111654
680,NA
681,0.818080919372733
682,NA
683,NA
684,0.394559149557608
685,NA
686,0.306864867525292
687,NA
688,0.248568976174283
689,NA
690,NA
691,0.264597456545744
692,NA
693,0.245139806094812
694,NA
695,NA
696,0.208947291922717
697,NA
698,0.231114885769784
699,NA
700,0.239283245959086
701,NA
702,NA
703,0.352214678576274
704,NA
705,0.521399912497145
706,NA
707,NA
708,0.760401508036011
709,NA
710,1.17124690755736
711,NA
712,1.18912482797168
713,NA
714,NA
715,1.09919580588758
716,NA
717,1.04140080454818
718,NA
719,NA
720,0.845244570002251
721,NA
722,NA
723,NA
724,NA
725,NA
726,NA
727,NA
728,NA
729,NA
730,NA
731,NA
732,NA
733,NA
734,NA
735,NA
736,NA
737,NA
738,NA
739,NA
740,NA
741,NA
742,NA
743,NA
744,NA
745,NA
746,NA
747,NA
748,NA
749,NA
750,NA
751,NA
752,NA
753,NA
754,NA
755,NA
756,NA
757,NA
758,NA
759,NA
760,NA
761,NA
762,NA
763,NA
764,NA
765,NA
766,NA
767,NA
768,NA
769,NA
770,NA
771,NA
772,NA
773,NA
774,NA
775,NA
776,NA
777,NA
778,NA
779,NA
780,NA
781,NA
782,0.155480494016956
783,NA
784,0.207688645226881
785,NA
786,NA
787,0.286521027053823
788,NA
789,0.33560824819142
790,NA
791,NA
792,0.337342098231602
793,NA
794,0.248723096177855
795,NA
796,0.281666246941313
797,NA
798,NA
799,0.275732626803801
800,NA
801,0.410163799919246
802,NA
803,NA
804,0.252152266257326
805,NA
806,0.220865905532264
807,NA
808,0.242365646030521
809,NA
810,NA
811,0.262940666507347
812,NA
813,0.323895127919968
814,NA
815,NA
816,0.310139917601191
817,NA
818,0.261630646476988
819,NA
820,0.267679856617178
821,NA
822,NA
823,0.415981830054079
824,NA
825,0.667813915890292
826,NA
827,NA
828,0.80582837908878
829,NA
830,1.25169754942181
831,NA
832,1.21601876859495
833,NA
834,NA
835,1.16708566746092
