"pixel_idx","AOD"
1,NA
2,NA
3,NA
4,NA
5,NA
6,NA
7,NA
8,NA
9,NA
10,NA
11,NA
12,NA
13,NA
14,NA
15,NA
16,NA
17,NA
18,NA
19,NA
20,NA
21,NA
22,NA
23,NA
24,NA
25,NA
26,NA
27,NA
28,NA
29,NA
30,NA
31,NA
32,NA
33,NA
34,NA
35,NA
36,NA
37,NA
38,NA
39,NA
40,NA
41,NA
42,NA
43,NA
44,NA
45,NA
46,NA
47,NA
48,NA
49,NA
50,NA
51,NA
52,NA
53,NA
54,NA
55,NA
56,NA
57,NA
58,NA
59,NA
60,NA
61,NA
62,0.155615349020081
63,NA
64,0.181565304621472
65,NA
66,NA
67,0.144287528757559
68,NA
69,0.155191519010259
70,NA
71,NA
72,0.190022639817471
73,NA
74,0.229907612408473
75,NA
76,0.253038456277864
77,NA
78,NA
79,0.259447279759722
80,NA
81,0.314243362696288
82,NA
83,NA
84,0.352041293572256
85,NA
86,0.548242479785889
87,NA
88,0.728023463952316
89,NA
90,NA
91,0.641093360271043
92,NA
93,0.444705945719761
94,NA
95,NA
96,0.483235946612695
97,NA
98,0.496432471918524
99,NA
100,0.566364423539198
101,NA
102,NA
103,0.684381816274254
104,NA
105,0.746954537724378
106,NA
107,NA
108,0.790673245404226
109,NA
110,0.85239188516789
111,NA
112,0.796889418881619
113,NA
114,NA
115,0.643809725333995
116,NA
117,0.556481478310161
118,NA
119,NA
120,0.533703826115622
121,NA
122,NA
123,NA
124,NA
125,NA
126,NA
127,NA
128,NA
129,NA
130,NA
131,NA
132,NA
133,NA
134,NA
135,NA
136,NA
137,NA
138,NA
139,NA
140,NA
141,NA
142,NA
143,NA
144,NA
145,NA
146,NA
147,NA
148,NA
149,NA
150,NA
151,NA
152,NA
153,NA
154,NA
155,NA
156,NA
157,NA
158,NA
159,NA
160,NA
161,NA
162,NA
163,NA
164,NA
165,NA
166,NA
167,NA
168,NA
169,NA
170,NA
171,NA
172,NA
173,NA
174,NA
175,NA
176,NA
177,NA
178,NA
179,NA
180,NA
181,NA
182,0.159911444119643
183,NA
184,0.142650003719609
185,NA
186,NA
187,0.18212398963442
188,NA
189,0.195012274933106
190,NA
191,NA
192,0.218496310477349
193,NA
194,0.228167340701475
195,NA
196,0.251433039573991
197,NA
198,NA
199,0.317402822769509
200,NA
201,0.406863063176085
202,NA
203,NA
204,0.484796411648858
205,NA
206,0.707756683482633
207,NA
208,0.555094398278015
209,NA
210,NA
211,0.549372693145415
212,NA
213,0.525345384588581
214,NA
215,NA
216,0.514510748337489
217,NA
218,0.567712973570451
219,NA
220,0.67442566404352
221,NA
222,NA
223,0.751424017827958
224,NA
225,0.868574485542922
226,NA
227,NA
228,0.906545801422908
229,NA
230,0.873641180660343
231,NA
232,0.864914135458093
233,NA
234,NA
235,0.621693504821451
236,NA
237,0.544633503035584
238,NA
239,NA
240,0.599230514300871
241,NA
242,NA
243,NA
244,NA
245,NA
246,NA
247,NA
248,NA
249,NA
250,NA
251,NA
252,NA
253,NA
254,NA
255,NA
256,NA
257,NA
258,NA
259,NA
260,NA
261,NA
262,NA
263,NA
264,NA
265,NA
266,NA
267,NA
268,NA
269,NA
270,NA
271,NA
272,NA
273,NA
274,NA
275,NA
276,NA
277,NA
278,NA
279,NA
280,NA
281,NA
282,NA
283,NA
284,NA
285,NA
286,NA
287,NA
288,NA
289,NA
290,NA
291,NA
292,NA
293,NA
294,NA
295,NA
296,NA
297,NA
298,NA
299,NA
300,NA
301,NA
302,NA
303,NA
304,NA
305,NA
306,NA
307,NA
308,NA
309,NA
310,NA
311,NA
312,NA
313,NA
314,NA
315,NA
316,NA
317,NA
318,NA
319,NA
320,NA
321,NA
322,NA
323,NA
324,NA
325,NA
326,NA
327,NA
328,NA
329,NA
330,NA
331,NA
332,NA
333,NA
334,NA
335,NA
336,NA
337,NA
338,NA
339,NA
340,NA
341,NA
342,NA
343,NA
344,NA
345,NA
346,NA
347,NA
348,NA
349,NA
350,NA
351,NA
352,NA
353,NA
354,NA
355,NA
356,NA
357,NA
358,NA
359,NA
360,NA
361,NA
362,0.151434843923198
363,NA
364,0.134558703532093
365,NA
366,NA
367,0.177172884519678
368,NA
369,0.170622784367879
370,NA
371,NA
372,0.282267314955243
373,NA
374,0.344316028393223
375,NA
376,0.387854929402238
377,NA
378,NA
379,0.345009568409296
380,NA
381,0.428568297012437
382,NA
383,NA
384,0.598190204276762
385,NA
386,0.491192391797085
387,NA
388,0.416270805060776
389,NA
390,NA
391,0.412899429982645
392,NA
393,0.598382854281226
394,NA
395,NA
396,0.628883202988072
397,NA
398,0.55883180836463
399,NA
400,0.594930566201219
401,NA
402,NA
403,0.631865425057185
404,NA
405,0.905066249388619
406,NA
407,NA
408,1.03517820940397
409,NA
410,0.951413987462729
411,NA
412,0.95070118244621
413,NA
414,NA
415,0.733186484071969
416,NA
417,0.671435735974228
418,NA
419,NA
420,0.588878787394303
421,NA
422,NA
423,NA
424,NA
425,NA
426,NA
427,NA
428,NA
429,NA
430,NA
431,NA
432,NA
433,NA
434,NA
435,NA
436,NA
437,NA
438,NA
439,NA
440,NA
441,NA
442,NA
443,NA
444,NA
445,NA
446,NA
447,NA
448,NA
449,NA
450,NA
451,NA
452,NA
453,NA
454,NA
455,NA
456,NA
457,NA
458,NA
459,NA
460,NA
461,NA
462,NA
463,NA
464,NA
465,NA
466,NA
467,NA
468,NA
469,NA
470,NA
471,NA
472,NA
473,NA
474,NA
475,NA
476,NA
477,NA
478,NA
479,NA
480,NA
481,NA
482,0.172664874415204
483,NA
484,0.172271868406096
485,NA
486,NA
487,0.219350392163809
488,NA
489,0.24498568609124
490,NA
491,NA
492,0.403536639765662
493,NA
494,0.40521911647132
495,NA
496,0.545314199718026
497,NA
498,NA
499,0.538096246217416
500,NA
501,0.406837376508823
502,NA
503,NA
504,0.41008673991746
505,NA
506,0.357840058706643
507,NA
508,0.32194294120806
509,NA
510,NA
511,0.329944338060159
512,NA
513,0.384502819324553
514,NA
515,NA
516,0.338151228250354
517,NA
518,0.388567734418757
519,NA
520,0.458769396045682
521,NA
522,NA
523,0.72137061713147
524,NA
525,0.88864861600814
526,NA
527,NA
528,1.10077553592419
529,NA
530,0.987073503289139
531,NA
532,0.942937387266284
533,NA
534,NA
535,0.786101018631598
536,NA
537,0.694168436501059
538,NA
539,NA
540,0.668507455906365
541,NA
542,NA
543,NA
544,NA
545,NA
546,NA
547,NA
548,NA
549,NA
550,NA
551,NA
552,NA
553,NA
554,NA
555,NA
556,NA
557,NA
558,NA
559,NA
560,NA
561,NA
562,NA
563,NA
564,NA
565,NA
566,NA
567,NA
568,NA
569,NA
570,NA
571,NA
572,NA
573,NA
574,NA
575,NA
576,NA
577,NA
578,NA
579,NA
580,NA
581,NA
582,NA
583,NA
584,NA
585,NA
586,NA
587,NA
588,NA
589,NA
590,NA
591,NA
592,NA
593,NA
594,NA
595,NA
596,NA
597,NA
598,NA
599,NA
600,NA
601,NA
602,NA
603,NA
604,NA
605,NA
606,NA
607,NA
608,NA
609,NA
610,NA
611,NA
612,NA
613,NA
614,NA
615,NA
616,NA
617,NA
618,NA
619,NA
620,NA
621,NA
622,NA
623,NA
624,NA
625,NA
626,NA
627,NA
628,NA
629,NA
630,NA
631,NA
632,NA
633,NA
634,NA
635,NA
636,NA
637,NA
638,NA
639,NA
640,NA
641,NA
642,NA
643,NA
644,NA
645,NA
646,NA
647,NA
648,NA
649,NA
650,NA
651,NA
652,NA
653,NA
654,NA
655,NA
656,NA
657,NA
658,NA
659,NA
660,NA
661,NA
662,0.300661537381529
663,NA
664,0.405713584816112
665,NA
666,NA
667,0.641921755290241
668,NA
669,0.386544909371878
670,NA
671,NA
672,0.336109138203028
673,NA
674,0.583394683933875
675,NA
676,0.637786201861066
677,NA
678,NA
679,0.602312914372305
680,NA
681,0.509224432214978
682,NA
683,NA
684,0.351058778549486
685,NA
686,0.391380424483941
687,NA
688,0.361834335465877
689,NA
690,NA
691,0.421260440176411
692,NA
693,0.316767077754776
694,NA
695,NA
696,0.300584477379743
697,NA
698,0.296827802292682
699,NA
700,0.42077496216516
701,NA
702,NA
703,0.721255027128791
704,NA
705,0.943033712268516
706,NA
707,NA
708,1.21944793867442
709,NA
710,1.13364162668586
711,NA
712,1.03878076448746
713,NA
714,NA
715,0.914136211598816
716,NA
717,0.798719593924034
718,NA
719,NA
720,0.70817409182564
721,NA
722,NA
723,NA
724,NA
725,NA
726,NA
727,NA
728,NA
729,NA
730,NA
731,NA
732,NA
733,NA
734,NA
735,NA
736,NA
737,NA
738,NA
739,NA
740,NA
741,NA
742,NA
743,NA
744,NA
745,NA
746,NA
747,NA
748,NA
749,NA
750,NA
751,NA
752,NA
753,NA
754,NA
755,NA
756,NA
757,NA
758,NA
759,NA
760,NA
761,NA
762,NA
763,NA
764,NA
765,NA
766,NA
767,NA
768,NA
769,NA
770,NA
771,NA
772,NA
773,NA
774,NA
775,NA
776,NA
777,NA
778,NA
779,NA
780,NA
781,NA
782,0.41793915409944
783,NA
784,0.435863310514833
785,NA
786,NA
787,0.422108100196056
788,NA
789,0.292223467185977
790,NA
791,NA
792,0.292820682199817
793,NA
794,0.36003626875754
795,NA
796,0.34427749839233
797,NA
798,NA
799,0.462500384465481
800,NA
801,0.325494122957025
802,NA
803,NA
804,0.310679337613692
805,NA
806,0.31498185438007
807,NA
808,0.294509580572291
809,NA
810,NA
811,0.368281688948628
812,NA
813,0.660107915711706
814,NA
815,NA
816,0.385100034338393
817,NA
818,0.439901254608412
819,NA
820,0.691143831430963
821,NA
822,NA
823,0.843110007952782
824,NA
825,1.03015004428744
826,NA
827,NA
828,1.23410218234737
829,NA
830,1.15796690058293
831,NA
832,1.08239672549826
833,NA
834,NA
835,0.953147837502911
